"Општина","2005 Земјоделска површина","2005 Вкупна обработлива површина","2005 Ораници и бавчи","2005 Овоштарници","2005 Лозја","2005 Ливади","2005 Пасишта","2006 Земјоделска површина","2006 Вкупна обработлива површина","2006 Ораници и бавчи","2006 Овоштарници","2006 Лозја","2006 Ливади","2006 Пасишта","2007 Земјоделска површина","2007 Вкупна обработлива површина","2007 Ораници и бавчи","2007 Овоштарници","2007 Лозја","2007 Ливади","2007 Пасишта","2008 Земјоделска површина","2008 Вкупна обработлива површина","2008 Ораници и бавчи","2008 Овоштарници","2008 Лозја","2008 Ливади","2008 Пасишта","2009 Земјоделска површина","2009 Вкупна обработлива површина","2009 Ораници и бавчи","2009 Овоштарници","2009 Лозја","2009 Ливади","2009 Пасишта","2010 Земјоделска површина","2010 Вкупна обработлива површина","2010 Ораници и бавчи","2010 Овоштарници","2010 Лозја","2010 Ливади","2010 Пасишта","2011 Земјоделска површина","2011 Вкупна обработлива површина","2011 Ораници и бавчи","2011 Овоштарници","2011 Лозја","2011 Ливади","2011 Пасишта","2012 Земјоделска површина","2012 Вкупна обработлива површина","2012 Ораници и бавчи","2012 Овоштарници","2012 Лозја","2012 Ливади","2012 Пасишта","2013 Земјоделска површина","2013 Вкупна обработлива површина","2013 Ораници и бавчи","2013 Овоштарници","2013 Лозја","2013 Ливади","2013 Пасишта"
"РЕПУБЛИКА МАКЕДОНИЈА",19150,545514,447562,13368,26023,58561,682771,1225513,537419,438925,12991,25239,60264,687324,1077235,526477,431608,13400,22665,58804,549860,1064389,521193,423647,13916,22401,61229,542478,1014410,513234,420163,14266,20606,58199,500468,1120584,508697,415008,13932,20669,59088,611183,1120213,511316,414829,14469,20695,61323,608176,1267869,510407,414075,14622,21269,60441,756558,1260336,508546,412972,15212,21497,58865,751187
"Скопје",577,18534,15683,501,1415,935,37227,54407,17183,14401,384,1415,983,37202,39729,17281,14752,394,1354,781,22426,40128,17514,15179,377,1291,667,22598,47576,17645,15435,365,1257,588,29914,47414,17244,15005,293,1288,658,30159,47398,17284,15094,413,1218,559,30092,54330,17162,15012,397,1234,519,37154,54415,17243,15091,401,1233,518,37157
"Арачиново",13,1541,1378,20,4,139,172,1713,1542,1378,21,4,139,171,1713,1542,1378,21,4,139,171,1713,1542,1378,21,4,139,171,1713,1542,1378,30,4,130,171,1714,1543,1380,21,4,138,171,1736,1565,1402,21,4,138,171,1769,1608,1454,21,5,128,161,1769,1608,1454,21,5,128,161
"Берово",30068,11462,7071,722,-,3669,18606,31984,13309,8700,583,-,4026,18675,25784,13309,8679,605,-,4025,12475,25784,13309,8679,605,-,4025,12475,25807,13332,8687,620,-,4025,12475,43618,13443,8273,1199,-,3971,30175,43529,13354,7730,1485,-,4139,30175,40716,13362,8027,1271,-,4064,27354,40764,13365,8366,1216,-,3783,27399
"Битола",104196,37129,31724,448,556,4401,66845,104141,37161,32680,439,481,3561,66758,110810,36918,32132,444,458,3884,73670,110837,36981,32208,432,470,3871,73634,115879,37145,32032,441,471,4201,78512,115622,36901,31817,436,456,4192,78499,115276,36572,31703,407,297,4165,78482,105736,36439,31593,382,294,4170,69076,106196,36897,32046,380,300,4171,69078
"Богданци",4921,4774,3666,58,918,132,147,4939,4792,3684,58,918,132,147,4523,4376,3252,74,918,132,147,4275,4128,3499,59,438,132,147,4343,4196,3556,63,445,132,147,4334,4187,3543,67,445,132,147,4157,4010,3366,67,445,132,147,3314,3217,2571,69,445,132,97,3402,3305,2650,70,453,132,97
"Боговиње",4186,3783,3108,47,-,628,403,5350,4935,3650,45,-,1240,415,10472,4935,3544,45,-,1346,5537,10472,4935,3608,45,-,1282,5537,10612,5075,3805,45,-,1225,5537,10644,4994,3694,46,-,1254,5650,10652,4991,3671,46,-,1274,5661,10672,5016,3699,46,-,1271,5656,10711,5066,3738,46,-,1282,5645
"Босилово",7319,7268,6491,36,462,279,36,6957,6903,6065,29,531,278,39,7484,7430,6574,20,581,255,39,7171,7094,6275,20,488,311,62,7494,7414,6470,21,611,312,65,7388,7308,6393,95,538,282,65,7261,7154,6228,101,536,289,92,7319,7212,6255,134,534,289,92,7375,7268,6303,133,543,289,92
"Брвеница",5028,4571,3796,233,16,526,457,5652,5189,4480,209,16,484,463,4692,4596,4259,210,10,117,96,5320,5224,3996,210,10,1008,96,4393,4303,3955,210,10,128,90,4362,4273,3792,202,10,269,89,4426,4341,3857,185,10,289,85,4376,4300,3854,184,10,252,76,4349,4280,3922,184,10,164,69
"Валандово",9473,4466,2693,103,1633,37,5007,9355,4270,2426,145,1627,72,5084,5823,4446,2548,183,1678,37,1377,5802,4313,2386,202,1687,38,1489,3655,3398,2390,191,777,40,257,5608,3436,2370,237,790,39,2172,5593,3424,2383,227,774,40,2169,8567,3492,2414,259,779,40,5075,8499,3424,2359,244,781,40,5075
"Василево",7696,7511,6803,33,644,31,185,7159,6996,6192,72,701,31,163,7186,7022,6141,72,765,44,164,6730,6556,5670,56,785,45,174,7024,6851,5858,125,823,45,173,7022,6818,5829,124,818,47,204,6808,6710,5704,132,848,26,98,6485,6277,5181,128,929,39,208,6524,6324,5201,133,948,42,200
"Вевчани",530,468,268,20,125,55,62,530,468,268,20,126,54,62,530,468,277,20,126,45,62,530,468,277,20,126,45,62,530,468,277,20,126,45,62,530,468,277,20,126,45,62,530,468,294,20,126,28,62,530,468,294,20,126,28,62,530,468,294,20,126,28,62
